#separator:,
#html:true
#if matches:keep current
#notetype:Spanish Conjugation
#deck:Spanish::conjugación
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"construir, vs, pret. perfecto",construir,budować,to build,vs,pret_perfecto,habéis construido,,False,
"construir, ellos, pret. perfecto",construir,budować,to build,ellos,pret_perfecto,han construido,,False,
"construir, yo, presente progresivo",construir,budować,to build,yo,presente_progresivo,estoy constru<em>y</em>endo,,True,
"construir, tú, presente progresivo",construir,budować,to build,tu,presente_progresivo,estás constru<em>y</em>endo,,True,
"construir, él, presente progresivo",construir,budować,to build,el,presente_progresivo,está constru<em>y</em>endo,,True,
"construir, ns, presente progresivo",construir,budować,to build,ns,presente_progresivo,estamos constru<em>y</em>endo,,True,
"construir, vs, presente progresivo",construir,budować,to build,vs,presente_progresivo,estáis constru<em>y</em>endo,,True,
"construir, ellos, presente progresivo",construir,budować,to build,ellos,presente_progresivo,están constru<em>y</em>endo,,True,
"construir, yo, pretérito imperfecto",construir,budować,to build,yo,pret_imperfecto,construía,,False,
"construir, tú, pretérito imperfecto",construir,budować,to build,tu,pret_imperfecto,construías,,False,
"construir, él, pretérito imperfecto",construir,budować,to build,el,pret_imperfecto,construía,,False,
"construir, ns, pretérito imperfecto",construir,budować,to build,ns,pret_imperfecto,construíamos,,False,
"construir, vs, pretérito imperfecto",construir,budować,to build,vs,pret_imperfecto,construíais,,False,
"construir, ellos, pretérito imperfecto",construir,budować,to build,ellos,pret_imperfecto,construían,,False,
"construir, tú, imperativo",construir,budować,to build,tu,imperativo,constru<em>y</em>e,,True,
"construir, usted, imperativo",construir,budować,to build,ud,imperativo,constru<em>y</em>a,,True,
"construir, ns, imperativo",construir,budować,to build,ns,imperativo,constru<em>y</em>amos,,True,
"construir, vs, imperativo",construir,budować,to build,vs,imperativo,construid,,False,
"construir, ustedes, imperativo",construir,budować,to build,uds,imperativo,constru<em>y</em>an,,True,
"contar, yo, presente",contar,liczyć,to count,yo,presente,c<em>ue</em>nto,,True,
"contar, tú, presente",contar,liczyć,to count,tu,presente,c<em>ue</em>ntas,,True,
"contar, él, presente",contar,liczyć,to count,el,presente,c<em>ue</em>nta,,True,
"contar, ns, presente",contar,liczyć,to count,ns,presente,contamos,,False,
"contar, vs, presente",contar,liczyć,to count,vs,presente,contáis,,False,
"contar, ellos, presente",contar,liczyć,to count,ellos,presente,c<em>ue</em>ntan,,True,
"contar, yo, pret. indefinido",contar,liczyć,to count,yo,pret_indefinido,conté,,False,
"contar, tú, pret. indefinido",contar,liczyć,to count,tu,pret_indefinido,contaste,,False,
"contar, él, pret. indefinido",contar,liczyć,to count,el,pret_indefinido,contó,,False,
"contar, ns, pret. indefinido",contar,liczyć,to count,ns,pret_indefinido,contamos,,False,
"contar, vs, pret. indefinido",contar,liczyć,to count,vs,pret_indefinido,contasteis,,False,
"contar, ellos, pret. indefinido",contar,liczyć,to count,ellos,pret_indefinido,contaron,,False,
"contar, yo, pret. perfecto",contar,liczyć,to count,yo,pret_perfecto,he contado,,False,
"contar, tú, pret. perfecto",contar,liczyć,to count,tu,pret_perfecto,has contado,,False,
"contar, él, pret. perfecto",contar,liczyć,to count,el,pret_perfecto,ha contado,,False,
"contar, ns, pret. perfecto",contar,liczyć,to count,ns,pret_perfecto,hemos contado,,False,
"contar, vs, pret. perfecto",contar,liczyć,to count,vs,pret_perfecto,habéis contado,,False,
"contar, ellos, pret. perfecto",contar,liczyć,to count,ellos,pret_perfecto,han contado,,False,
"contar, yo, presente progresivo",contar,liczyć,to count,yo,presente_progresivo,estoy contando,,False,
"contar, tú, presente progresivo",contar,liczyć,to count,tu,presente_progresivo,estás contando,,False,
"contar, él, presente progresivo",contar,liczyć,to count,el,presente_progresivo,está contando,,False,
"contar, ns, presente progresivo",contar,liczyć,to count,ns,presente_progresivo,estamos contando,,False,
"contar, vs, presente progresivo",contar,liczyć,to count,vs,presente_progresivo,estáis contando,,False,
"contar, ellos, presente progresivo",contar,liczyć,to count,ellos,presente_progresivo,están contando,,False,
"contar, yo, pretérito imperfecto",contar,liczyć,to count,yo,pret_imperfecto,contaba,,False,
"contar, tú, pretérito imperfecto",contar,liczyć,to count,tu,pret_imperfecto,contabas,,False,
"contar, él, pretérito imperfecto",contar,liczyć,to count,el,pret_imperfecto,contaba,,False,
"contar, ns, pretérito imperfecto",contar,liczyć,to count,ns,pret_imperfecto,contábamos,,False,
"contar, vs, pretérito imperfecto",contar,liczyć,to count,vs,pret_imperfecto,contabais,,False,
"contar, ellos, pretérito imperfecto",contar,liczyć,to count,ellos,pret_imperfecto,contaban,,False,
"contar, tú, imperativo",contar,liczyć,to count,tu,imperativo,c<em>ue</em>nta,,True,
"contar, usted, imperativo",contar,liczyć,to count,ud,imperativo,c<em>ue</em>nte,,True,
"contar, ns, imperativo",contar,liczyć,to count,ns,imperativo,contemos,,False,
"contar, vs, imperativo",contar,liczyć,to count,vs,imperativo,contad,,False,
"contar, ustedes, imperativo",contar,liczyć,to count,uds,imperativo,c<em>ue</em>nten,,True,
"dar, yo, presente",dar,dać,to give,yo,presente,do<em>y</em>,daję,True,
"dar, tú, presente",dar,dać,to give,tu,presente,das,dajesz,False,
"dar, él, presente",dar,dać,to give,el,presente,da,daje,False,
"dar, ns, presente",dar,dać,to give,ns,presente,damos,dajemy,False,
"dar, vs, presente",dar,dać,to give,vs,presente,d<em>a</em>is,dajecie,True,
"dar, ellos, presente",dar,dać,to give,ellos,presente,dan,dają,False,
"dar, yo, pret. indefinido",dar,dać,to give,yo,pret_indefinido,d<em>i</em>,dałem,True,
"dar, tú, pret. indefinido",dar,dać,to give,tu,pret_indefinido,d<em>i</em>ste,dałeś,True,
"dar, él, pret. indefinido",dar,dać,to give,el,pret_indefinido,d<em>io</em>,dał,True,
"dar, ns, pret. indefinido",dar,dać,to give,ns,pret_indefinido,d<em>i</em>mos,daliśmy,True,
"dar, vs, pret. indefinido",dar,dać,to give,vs,pret_indefinido,d<em>i</em>steis,daliście,True,
"dar, ellos, pret. indefinido",dar,dać,to give,ellos,pret_indefinido,d<em>ie</em>ron,dali,True,
"dar, yo, pret. perfecto",dar,dać,to give,yo,pret_perfecto,he dado,,False,
"dar, tú, pret. perfecto",dar,dać,to give,tu,pret_perfecto,has dado,,False,
"dar, él, pret. perfecto",dar,dać,to give,el,pret_perfecto,ha dado,,False,
"dar, ns, pret. perfecto",dar,dać,to give,ns,pret_perfecto,hemos dado,,False,
"dar, vs, pret. perfecto",dar,dać,to give,vs,pret_perfecto,habéis dado,,False,
"dar, ellos, pret. perfecto",dar,dać,to give,ellos,pret_perfecto,han dado,,False,
"dar, yo, presente progresivo",dar,dać,to give,yo,presente_progresivo,estoy dando,,False,
"dar, tú, presente progresivo",dar,dać,to give,tu,presente_progresivo,estás dando,,False,
"dar, él, presente progresivo",dar,dać,to give,el,presente_progresivo,está dando,,False,
"dar, ns, presente progresivo",dar,dać,to give,ns,presente_progresivo,estamos dando,,False,
"dar, vs, presente progresivo",dar,dać,to give,vs,presente_progresivo,estáis dando,,False,
"dar, ellos, presente progresivo",dar,dać,to give,ellos,presente_progresivo,están dando,,False,
"dar, yo, pretérito imperfecto",dar,dać,to give,yo,pret_imperfecto,daba,,False,
"dar, tú, pretérito imperfecto",dar,dać,to give,tu,pret_imperfecto,dabas,,False,
"dar, él, pretérito imperfecto",dar,dać,to give,el,pret_imperfecto,daba,,False,
"dar, ns, pretérito imperfecto",dar,dać,to give,ns,pret_imperfecto,dábamos,,False,
"dar, vs, pretérito imperfecto",dar,dać,to give,vs,pret_imperfecto,dabais,,False,
"dar, ellos, pretérito imperfecto",dar,dać,to give,ellos,pret_imperfecto,daban,,False,
"dar, tú, imperativo",dar,dać,to give,tu,imperativo,da,,False,
"dar, usted, imperativo",dar,dać,to give,ud,imperativo,d<em>é</em>,,True,
"dar, ns, imperativo",dar,dać,to give,ns,imperativo,demos,,False,
"dar, vs, imperativo",dar,dać,to give,vs,imperativo,dad,,False,
"dar, ustedes, imperativo",dar,dać,to give,uds,imperativo,den,,False,
"deber, yo, presente",deber,musieć,to owe,yo,presente,debo,,False,
"deber, tú, presente",deber,musieć,to owe,tu,presente,debes,,False,
"deber, él, presente",deber,musieć,to owe,el,presente,debe,,False,
"deber, ns, presente",deber,musieć,to owe,ns,presente,debemos,,False,
"deber, vs, presente",deber,musieć,to owe,vs,presente,debéis,,False,
"deber, ellos, presente",deber,musieć,to owe,ellos,presente,deben,,False,
"deber, yo, pret. indefinido",deber,musieć,to owe,yo,pret_indefinido,debí,,False,
"deber, tú, pret. indefinido",deber,musieć,to owe,tu,pret_indefinido,debiste,,False,
"deber, él, pret. indefinido",deber,musieć,to owe,el,pret_indefinido,debió,,False,
"deber, ns, pret. indefinido",deber,musieć,to owe,ns,pret_indefinido,debimos,,False,
"deber, vs, pret. indefinido",deber,musieć,to owe,vs,pret_indefinido,debisteis,,False,
"deber, ellos, pret. indefinido",deber,musieć,to owe,ellos,pret_indefinido,debieron,,False,
"deber, yo, pret. perfecto",deber,musieć,to owe,yo,pret_perfecto,he debido,,False,
"deber, tú, pret. perfecto",deber,musieć,to owe,tu,pret_perfecto,has debido,,False,
"deber, él, pret. perfecto",deber,musieć,to owe,el,pret_perfecto,ha debido,,False,
"deber, ns, pret. perfecto",deber,musieć,to owe,ns,pret_perfecto,hemos debido,,False,
"deber, vs, pret. perfecto",deber,musieć,to owe,vs,pret_perfecto,habéis debido,,False,
"deber, ellos, pret. perfecto",deber,musieć,to owe,ellos,pret_perfecto,han debido,,False,
"deber, yo, presente progresivo",deber,musieć,to owe,yo,presente_progresivo,estoy debiendo,,False,
"deber, tú, presente progresivo",deber,musieć,to owe,tu,presente_progresivo,estás debiendo,,False,
"deber, él, presente progresivo",deber,musieć,to owe,el,presente_progresivo,está debiendo,,False,
"deber, ns, presente progresivo",deber,musieć,to owe,ns,presente_progresivo,estamos debiendo,,False,
"deber, vs, presente progresivo",deber,musieć,to owe,vs,presente_progresivo,estáis debiendo,,False,
"deber, ellos, presente progresivo",deber,musieć,to owe,ellos,presente_progresivo,están debiendo,,False,
"deber, yo, pretérito imperfecto",deber,musieć,to owe,yo,pret_imperfecto,debía,,False,
"deber, tú, pretérito imperfecto",deber,musieć,to owe,tu,pret_imperfecto,debías,,False,
"deber, él, pretérito imperfecto",deber,musieć,to owe,el,pret_imperfecto,debía,,False,
"deber, ns, pretérito imperfecto",deber,musieć,to owe,ns,pret_imperfecto,debíamos,,False,
"deber, vs, pretérito imperfecto",deber,musieć,to owe,vs,pret_imperfecto,debíais,,False,
"deber, ellos, pretérito imperfecto",deber,musieć,to owe,ellos,pret_imperfecto,debían,,False,
"deber, tú, imperativo",deber,musieć,to owe,tu,imperativo,debe,,False,
"deber, usted, imperativo",deber,musieć,to owe,ud,imperativo,deba,,False,
"deber, ns, imperativo",deber,musieć,to owe,ns,imperativo,debamos,,False,
"deber, vs, imperativo",deber,musieć,to owe,vs,imperativo,debed,,False,
"deber, ustedes, imperativo",deber,musieć,to owe,uds,imperativo,deban,,False,
"decir, yo, presente",decir,mówić,to say,yo,presente,d<em>ig</em>o,mówię,True,
"decir, tú, presente",decir,mówić,to say,tu,presente,d<em>i</em>ces,mówisz,True,
"decir, él, presente",decir,mówić,to say,el,presente,d<em>i</em>ce,mówi,True,
"decir, ns, presente",decir,mówić,to say,ns,presente,decimos,mówimy,False,
"decir, vs, presente",decir,mówić,to say,vs,presente,decís,mówicie,False,
"decir, ellos, presente",decir,mówić,to say,ellos,presente,d<em>i</em>cen,mówią,True,
"decir, yo, pret. indefinido",decir,mówić,to say,yo,pret_indefinido,d<em>ije</em>,mówiłem,True,
"decir, tú, pret. indefinido",decir,mówić,to say,tu,pret_indefinido,d<em>ij</em>iste,mówiłeś,True,
"decir, él, pret. indefinido",decir,mówić,to say,el,pret_indefinido,d<em>ijo</em>,mówił,True,
"decir, ns, pret. indefinido",decir,mówić,to say,ns,pret_indefinido,d<em>ij</em>imos,mówiliśmy,True,
"decir, vs, pret. indefinido",decir,mówić,to say,vs,pret_indefinido,d<em>ij</em>isteis,mówiliście,True,
"decir, ellos, pret. indefinido",decir,mówić,to say,ellos,pret_indefinido,d<em>ij</em>eron,mówili,True,
"decir, yo, pret. perfecto",decir,mówić,to say,yo,pret_perfecto,he d<em>ich</em>o,,True,
"decir, tú, pret. perfecto",decir,mówić,to say,tu,pret_perfecto,has d<em>ich</em>o,,True,
"decir, él, pret. perfecto",decir,mówić,to say,el,pret_perfecto,ha d<em>ich</em>o,,True,
"decir, ns, pret. perfecto",decir,mówić,to say,ns,pret_perfecto,hemos d<em>ich</em>o,,True,
"decir, vs, pret. perfecto",decir,mówić,to say,vs,pret_perfecto,habéis d<em>ich</em>o,,True,
"decir, ellos, pret. perfecto",decir,mówić,to say,ellos,pret_perfecto,han d<em>ich</em>o,,True,
"decir, yo, presente progresivo",decir,mówić,to say,yo,presente_progresivo,estoy d<em>i</em>ciendo,,True,
"decir, tú, presente progresivo",decir,mówić,to say,tu,presente_progresivo,estás d<em>i</em>ciendo,,True,
"decir, él, presente progresivo",decir,mówić,to say,el,presente_progresivo,está d<em>i</em>ciendo,,True,
"decir, ns, presente progresivo",decir,mówić,to say,ns,presente_progresivo,estamos d<em>i</em>ciendo,,True,
"decir, vs, presente progresivo",decir,mówić,to say,vs,presente_progresivo,estáis d<em>i</em>ciendo,,True,
"decir, ellos, presente progresivo",decir,mówić,to say,ellos,presente_progresivo,están d<em>i</em>ciendo,,True,
"decir, yo, pretérito imperfecto",decir,mówić,to say,yo,pret_imperfecto,decía,,False,
"decir, tú, pretérito imperfecto",decir,mówić,to say,tu,pret_imperfecto,decías,,False,
"decir, él, pretérito imperfecto",decir,mówić,to say,el,pret_imperfecto,decía,,False,
"decir, ns, pretérito imperfecto",decir,mówić,to say,ns,pret_imperfecto,decíamos,,False,
"decir, vs, pretérito imperfecto",decir,mówić,to say,vs,pret_imperfecto,decíais,,False,
"decir, ellos, pretérito imperfecto",decir,mówić,to say,ellos,pret_imperfecto,decían,,False,
"decir, tú, imperativo",decir,mówić,to say,tu,imperativo,d<em>i</em>,,True,
"decir, usted, imperativo",decir,mówić,to say,ud,imperativo,d<em>ig</em>a,,True,
"decir, ns, imperativo",decir,mówić,to say,ns,imperativo,d<em>ig</em>amos,,True,
"decir, vs, imperativo",decir,mówić,to say,vs,imperativo,decid,,False,
"decir, ustedes, imperativo",decir,mówić,to say,uds,imperativo,d<em>ig</em>an,,True,
"dejar, yo, presente",dejar,pozostawić,to leave,yo,presente,dejo,,False,
"dejar, tú, presente",dejar,pozostawić,to leave,tu,presente,dejas,,False,
"dejar, él, presente",dejar,pozostawić,to leave,el,presente,deja,,False,
"dejar, ns, presente",dejar,pozostawić,to leave,ns,presente,dejamos,,False,
"dejar, vs, presente",dejar,pozostawić,to leave,vs,presente,dejáis,,False,
"dejar, ellos, presente",dejar,pozostawić,to leave,ellos,presente,dejan,,False,
"dejar, yo, pret. indefinido",dejar,pozostawić,to leave,yo,pret_indefinido,dejé,,False,
"dejar, tú, pret. indefinido",dejar,pozostawić,to leave,tu,pret_indefinido,dejaste,,False,
"dejar, él, pret. indefinido",dejar,pozostawić,to leave,el,pret_indefinido,dejó,,False,
"dejar, ns, pret. indefinido",dejar,pozostawić,to leave,ns,pret_indefinido,dejamos,,False,
"dejar, vs, pret. indefinido",dejar,pozostawić,to leave,vs,pret_indefinido,dejasteis,,False,
"dejar, ellos, pret. indefinido",dejar,pozostawić,to leave,ellos,pret_indefinido,dejaron,,False,
"dejar, yo, pret. perfecto",dejar,pozostawić,to leave,yo,pret_perfecto,he dejado,,False,
"dejar, tú, pret. perfecto",dejar,pozostawić,to leave,tu,pret_perfecto,has dejado,,False,
"dejar, él, pret. perfecto",dejar,pozostawić,to leave,el,pret_perfecto,ha dejado,,False,
"dejar, ns, pret. perfecto",dejar,pozostawić,to leave,ns,pret_perfecto,hemos dejado,,False,
"dejar, vs, pret. perfecto",dejar,pozostawić,to leave,vs,pret_perfecto,habéis dejado,,False,
"dejar, ellos, pret. perfecto",dejar,pozostawić,to leave,ellos,pret_perfecto,han dejado,,False,
"dejar, yo, presente progresivo",dejar,pozostawić,to leave,yo,presente_progresivo,estoy dejando,,False,
"dejar, tú, presente progresivo",dejar,pozostawić,to leave,tu,presente_progresivo,estás dejando,,False,
"dejar, él, presente progresivo",dejar,pozostawić,to leave,el,presente_progresivo,está dejando,,False,
"dejar, ns, presente progresivo",dejar,pozostawić,to leave,ns,presente_progresivo,estamos dejando,,False,
"dejar, vs, presente progresivo",dejar,pozostawić,to leave,vs,presente_progresivo,estáis dejando,,False,
"dejar, ellos, presente progresivo",dejar,pozostawić,to leave,ellos,presente_progresivo,están dejando,,False,
"dejar, yo, pretérito imperfecto",dejar,pozostawić,to leave,yo,pret_imperfecto,dejaba,,False,
"dejar, tú, pretérito imperfecto",dejar,pozostawić,to leave,tu,pret_imperfecto,dejabas,,False,
"dejar, él, pretérito imperfecto",dejar,pozostawić,to leave,el,pret_imperfecto,dejaba,,False,
"dejar, ns, pretérito imperfecto",dejar,pozostawić,to leave,ns,pret_imperfecto,dejábamos,,False,
"dejar, vs, pretérito imperfecto",dejar,pozostawić,to leave,vs,pret_imperfecto,dejabais,,False,
"dejar, ellos, pretérito imperfecto",dejar,pozostawić,to leave,ellos,pret_imperfecto,dejaban,,False,
"dejar, tú, imperativo",dejar,pozostawić,to leave,tu,imperativo,deja,,False,
"dejar, usted, imperativo",dejar,pozostawić,to leave,ud,imperativo,deje,,False,
"dejar, ns, imperativo",dejar,pozostawić,to leave,ns,imperativo,dejemos,,False,
"dejar, vs, imperativo",dejar,pozostawić,to leave,vs,imperativo,dejad,,False,
"dejar, ustedes, imperativo",dejar,pozostawić,to leave,uds,imperativo,dejen,,False,
"desayunar, yo, presente",desayunar,jeść śniadanie,to have breakfast,yo,presente,desayuno,,False,
"desayunar, tú, presente",desayunar,jeść śniadanie,to have breakfast,tu,presente,desayunas,,False,
"desayunar, él, presente",desayunar,jeść śniadanie,to have breakfast,el,presente,desayuna,,False,
"desayunar, ns, presente",desayunar,jeść śniadanie,to have breakfast,ns,presente,desayunamos,,False,
"desayunar, vs, presente",desayunar,jeść śniadanie,to have breakfast,vs,presente,desayunáis,,False,
"desayunar, ellos, presente",desayunar,jeść śniadanie,to have breakfast,ellos,presente,desayunan,,False,
"desayunar, yo, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,yo,pret_indefinido,desayuné,,False,
"desayunar, tú, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,tu,pret_indefinido,desayunaste,,False,
"desayunar, él, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,el,pret_indefinido,desayunó,,False,
"desayunar, ns, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,ns,pret_indefinido,desayunamos,,False,
"desayunar, vs, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,vs,pret_indefinido,desayunasteis,,False,
"desayunar, ellos, pret. indefinido",desayunar,jeść śniadanie,to have breakfast,ellos,pret_indefinido,desayunaron,,False,
"desayunar, yo, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,yo,pret_perfecto,he desayunado,,False,
"desayunar, tú, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,tu,pret_perfecto,has desayunado,,False,
"desayunar, él, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,el,pret_perfecto,ha desayunado,,False,
"desayunar, ns, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,ns,pret_perfecto,hemos desayunado,,False,
"desayunar, vs, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,vs,pret_perfecto,habéis desayunado,,False,
"desayunar, ellos, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,ellos,pret_perfecto,han desayunado,,False,
"desayunar, yo, presente progresivo",desayunar,jeść śniadanie,to have breakfast,yo,presente_progresivo,estoy desayunando,,False,
"desayunar, tú, presente progresivo",desayunar,jeść śniadanie,to have breakfast,tu,presente_progresivo,estás desayunando,,False,
"desayunar, él, presente progresivo",desayunar,jeść śniadanie,to have breakfast,el,presente_progresivo,está desayunando,,False,
"desayunar, ns, presente progresivo",desayunar,jeść śniadanie,to have breakfast,ns,presente_progresivo,estamos desayunando,,False,
"desayunar, vs, presente progresivo",desayunar,jeść śniadanie,to have breakfast,vs,presente_progresivo,estáis desayunando,,False,
"desayunar, ellos, presente progresivo",desayunar,jeść śniadanie,to have breakfast,ellos,presente_progresivo,están desayunando,,False,
"desayunar, yo, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,yo,pret_imperfecto,desayunaba,,False,
"desayunar, tú, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,tu,pret_imperfecto,desayunabas,,False,
"desayunar, él, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,el,pret_imperfecto,desayunaba,,False,
"desayunar, ns, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,ns,pret_imperfecto,desayunábamos,,False,
"desayunar, vs, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,vs,pret_imperfecto,desayunabais,,False,
"desayunar, ellos, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,ellos,pret_imperfecto,desayunaban,,False,
"desayunar, tú, imperativo",desayunar,jeść śniadanie,to have breakfast,tu,imperativo,desayuna,,False,
"desayunar, usted, imperativo",desayunar,jeść śniadanie,to have breakfast,ud,imperativo,desayune,,False,
"desayunar, ns, imperativo",desayunar,jeść śniadanie,to have breakfast,ns,imperativo,desayunemos,,False,
"desayunar, vs, imperativo",desayunar,jeść śniadanie,to have breakfast,vs,imperativo,desayunad,,False,
"desayunar, ustedes, imperativo",desayunar,jeść śniadanie,to have breakfast,uds,imperativo,desayunen,,False,
"descubrir, yo, presente",descubrir,odkryć,to discover,yo,presente,descubro,odkrywam,False,
"descubrir, tú, presente",descubrir,odkryć,to discover,tu,presente,descubres,odkrywasz,False,
"descubrir, él, presente",descubrir,odkryć,to discover,el,presente,descubre,odkrywa,False,
"descubrir, ns, presente",descubrir,odkryć,to discover,ns,presente,descubrimos,odkrywamy,False,
"descubrir, vs, presente",descubrir,odkryć,to discover,vs,presente,descubrís,odkrywacie,False,
"descubrir, ellos, presente",descubrir,odkryć,to discover,ellos,presente,descubren,odkrywją,False,
"descubrir, yo, pret. indefinido",descubrir,odkryć,to discover,yo,pret_indefinido,descubrí,odkryłem,False,
"descubrir, tú, pret. indefinido",descubrir,odkryć,to discover,tu,pret_indefinido,descubriste,odkryłeś,False,
"descubrir, él, pret. indefinido",descubrir,odkryć,to discover,el,pret_indefinido,descubrió,odkrył,False,
"descubrir, ns, pret. indefinido",descubrir,odkryć,to discover,ns,pret_indefinido,descubrimos,odkryliśmy,False,
"descubrir, vs, pret. indefinido",descubrir,odkryć,to discover,vs,pret_indefinido,descubristeis,odkryliście,False,
"descubrir, ellos, pret. indefinido",descubrir,odkryć,to discover,ellos,pret_indefinido,descubrieron,odkryli,False,
"descubrir, yo, pret. perfecto",descubrir,odkryć,to discover,yo,pret_perfecto,he descub<em>iert</em>o,,True,
"descubrir, tú, pret. perfecto",descubrir,odkryć,to discover,tu,pret_perfecto,has descub<em>iert</em>o,,True,
"descubrir, él, pret. perfecto",descubrir,odkryć,to discover,el,pret_perfecto,ha descub<em>iert</em>o,,True,
"descubrir, ns, pret. perfecto",descubrir,odkryć,to discover,ns,pret_perfecto,hemos descub<em>iert</em>o,,True,
"descubrir, vs, pret. perfecto",descubrir,odkryć,to discover,vs,pret_perfecto,habéis descub<em>iert</em>o,,True,
"descubrir, ellos, pret. perfecto",descubrir,odkryć,to discover,ellos,pret_perfecto,han descub<em>iert</em>o,,True,
"descubrir, yo, presente progresivo",descubrir,odkryć,to discover,yo,presente_progresivo,estoy descubriendo,,False,
"descubrir, tú, presente progresivo",descubrir,odkryć,to discover,tu,presente_progresivo,estás descubriendo,,False,
"descubrir, él, presente progresivo",descubrir,odkryć,to discover,el,presente_progresivo,está descubriendo,,False,
"descubrir, ns, presente progresivo",descubrir,odkryć,to discover,ns,presente_progresivo,estamos descubriendo,,False,
"descubrir, vs, presente progresivo",descubrir,odkryć,to discover,vs,presente_progresivo,estáis descubriendo,,False,
"descubrir, ellos, presente progresivo",descubrir,odkryć,to discover,ellos,presente_progresivo,están descubriendo,,False,
"descubrir, yo, pretérito imperfecto",descubrir,odkryć,to discover,yo,pret_imperfecto,descubría,,False,
"descubrir, tú, pretérito imperfecto",descubrir,odkryć,to discover,tu,pret_imperfecto,descubrías,,False,
"descubrir, él, pretérito imperfecto",descubrir,odkryć,to discover,el,pret_imperfecto,descubría,,False,
"descubrir, ns, pretérito imperfecto",descubrir,odkryć,to discover,ns,pret_imperfecto,descubríamos,,False,
"descubrir, vs, pretérito imperfecto",descubrir,odkryć,to discover,vs,pret_imperfecto,descubríais,,False,
"descubrir, ellos, pretérito imperfecto",descubrir,odkryć,to discover,ellos,pret_imperfecto,descubrían,,False,
"descubrir, tú, imperativo",descubrir,odkryć,to discover,tu,imperativo,descubre,,False,
"descubrir, usted, imperativo",descubrir,odkryć,to discover,ud,imperativo,descubra,,False,
"descubrir, ns, imperativo",descubrir,odkryć,to discover,ns,imperativo,descubramos,,False,
"descubrir, vs, imperativo",descubrir,odkryć,to discover,vs,imperativo,descubrid,,False,
"descubrir, ustedes, imperativo",descubrir,odkryć,to discover,uds,imperativo,descubran,,False,
"despertarse, yo, presente",despertarse,budzić się,to wake up,yo,presente,me desp<em>i</em>erto,budzę się,True,
"despertarse, tú, presente",despertarse,budzić się,to wake up,tu,presente,te desp<em>i</em>ertas,budzisz się,True,
"despertarse, él, presente",despertarse,budzić się,to wake up,el,presente,se desp<em>i</em>erta,budzi się,True,
"despertarse, ns, presente",despertarse,budzić się,to wake up,ns,presente,nos despertamos,budzimy się,False,
"despertarse, vs, presente",despertarse,budzić się,to wake up,vs,presente,os despertáis,budzicie się,False,
"despertarse, ellos, presente",despertarse,budzić się,to wake up,ellos,presente,se desp<em>i</em>ertan,budzą się,True,
"despertarse, yo, pret. indefinido",despertarse,budzić się,to wake up,yo,pret_indefinido,me desperté,budziłem się,False,
"despertarse, tú, pret. indefinido",despertarse,budzić się,to wake up,tu,pret_indefinido,te despertaste,budziłeś się,False,
"despertarse, él, pret. indefinido",despertarse,budzić się,to wake up,el,pret_indefinido,se despertó,budził się,False,
"despertarse, ns, pret. indefinido",despertarse,budzić się,to wake up,ns,pret_indefinido,nos despertamos,budziliśmy się,False,
"despertarse, vs, pret. indefinido",despertarse,budzić się,to wake up,vs,pret_indefinido,os despertasteis,budziliście się,False,
"despertarse, ellos, pret. indefinido",despertarse,budzić się,to wake up,ellos,pret_indefinido,se despertaron,budzili się,False,
"despertarse, yo, pret. perfecto",despertarse,budzić się,to wake up,yo,pret_perfecto,me he despertado,,False,
"despertarse, tú, pret. perfecto",despertarse,budzić się,to wake up,tu,pret_perfecto,te has despertado,,False,
"despertarse, él, pret. perfecto",despertarse,budzić się,to wake up,el,pret_perfecto,se ha despertado,,False,
"despertarse, ns, pret. perfecto",despertarse,budzić się,to wake up,ns,pret_perfecto,nos hemos despertado,,False,
"despertarse, vs, pret. perfecto",despertarse,budzić się,to wake up,vs,pret_perfecto,os habéis despertado,,False,
"despertarse, ellos, pret. perfecto",despertarse,budzić się,to wake up,ellos,pret_perfecto,se han despertado,,False,
"despertarse, yo, presente progresivo",despertarse,budzić się,to wake up,yo,presente_progresivo,me estoy despertando,,False,
"despertarse, tú, presente progresivo",despertarse,budzić się,to wake up,tu,presente_progresivo,te estás despertando,,False,
"despertarse, él, presente progresivo",despertarse,budzić się,to wake up,el,presente_progresivo,se está despertando,,False,
